num,output,output_ENG
0,あ,A
1,い,I
2,う,U
3,え,E
4,お,O
5,か,KA
6,き,KI
7,く,KU
8,け,KE
9,こ,KO
10,さ,SA
11,し,SHI
12,す,SU
13,せ,SE
14,そ,SO
15,た,TA
16,ち,CHI
17,つ,TSU
18,て,TE
19,と,TO
20,な,NA
21,に,NI
22,ぬ,NU
23,ね,NE
24,の,NO
25,は,HA
26,ひ,HI
27,ふ,FU
28,へ,HE
29,ほ,HO
30,ま,MA
31,み,MI
32,む,MU
33,め,ME
34,も,MO
35,や,YA
36,ゆ,YU
37,よ,YO
38,ら,RA
39,り,RI
40,る,RU
41,れ,RE
42,ろ,RO
43,わ,WA
44,を,WO
45,ん,N
105,が,GA
106,ぎ,GI
107,ぐ,GU
108,げ,GE
109,ご,GO
110,ざ,ZA
111,じ,JI
112,ず,ZU
113,ぜ,ZE
114,ぞ,ZO
115,だ,DA
116,ぢ,DI
117,づ,DU
118,で,DE
119,ど,DO
125,ば,BA
126,び,BI
127,ぶ,BU
128,べ,BE
129,ぼ,BO
225,ぱ,PA
226,ぴ,PI
227,ぷ,PU
228,ぺ,PE
229,ぽ,PO
324,の,NO
334,も,MO
339,り,RI
